國家,名稱,type(0 =近戰.1 = 遠攻),血量,攻擊力,防禦力,移動速度(float.100開始.數值越高越快),攻擊速度(float),攻擊範圍(float.角色大小 + 角色大小 * 數值.0表示無距離),潛在能力(float),費用,資源,Atlas名稱(名稱),製造時間(秒)
EMPIRE,步兵,0,10,3,1,200,2,0,1.1,10,0,Infantry,5
EMPIRE,弓兵,1,5,3,1,200,1.5,2,1.1,10,0,Archer,5
EMPIRE,騎兵,0,13,4,1,350,1.5,0,1.2,15,0,Cavalry,10
EMPIRE,黑騎兵,0,20,5,2,300,2,0,1.3,30,0,Reiter,15
EMPIRE,重裝步兵,0,20,3,4,150,2.5,0,1.3,30,0,MechanizedInfantry,15
EMPIRE,火槍兵,1,5,10,1,250,3,4,1.4,50,0,Musketeer,20
EMPIRE,裝甲車,0,30,15,7,100,3,0,1.5,80,0,ArmoredCar,30
EMPIRE,重砲兵,1,10,20,1,100,3,6,1.5,100,0,Artillery,30
KINGDOM,步兵,0,10,3,1,200,2,1,1.1,10,0,Infantry,5
KINGDOM,弓兵,1,5,3,1,200,1.5,3,1.1,10,0,Archer,5
KINGDOM,遊騎兵,0,13,4,1,350,1.5,1,1.2,15,0,Rangers,10
KINGDOM,特殊部隊,0,20,5,2,300,2,1,1.3,30,0,SpecialForces,15
KINGDOM,重裝騎兵,0,20,3,4,150,2.5,1,1.3,30,0,HeavyCavalry,15
KINGDOM,魔法師,1,5,10,1,250,3,5,1.4,50,0,Magician,20
KINGDOM,投石兵,1,30,15,7,100,3,1,1.5,80,0,Catapult,30
KINGDOM,衝車,0,10,20,1,100,3,7,1.5,100,0,BatteringRam,30
BUSINESS,奴隸,0,10,3,1,200,2,1,1.1,10,0,Slave,5
BUSINESS,傭兵,0,5,3,1,200,1.5,3,1.1,10,0,Mercenary,5
BUSINESS,弓兵,1,13,4,1,350,1.5,1,1.2,15,0,Archer,10
BUSINESS,騎兵,0,20,5,2,300,2,1,1.3,30,0,Cavalry,15
BUSINESS,訓獸師,0,20,3,4,150,2.5,1,1.3,30,0,AnimalTrainer,15
BUSINESS,劍鬥士,0,5,10,1,250,3,5,1.4,50,0,Gladiator,20
BUSINESS,衝車,0,30,15,7,100,3,1,1.5,80,0,BatteringRam,30
BUSINESS,投石兵,1,10,20,1,100,3,7,1.5,100,0,Catapult,30
